,id,budget,revenue
96,315011,15000000,7.700e+07
97,49051,250000000,1.021e+09
98,9799,38000000,2.073e+08
99,4922,150000000,3.339e+08
100,49538,160000000,3.536e+08
101,131634,160000000,6.534e+08
102,27022,150000000,2.153e+08
103,503,160000000,1.817e+08
104,241259,170000000,2.994e+08
105,810,160000000,7.990e+08
106,68735,160000000,4.337e+08
107,87101,155000000,4.406e+08
108,10140,155000000,4.157e+08
109,676,140000000,4.492e+08
110,1858,150000000,7.097e+08
111,1966,155000000,1.673e+08
112,675,150000000,9.382e+08
113,674,150000000,8.959e+08
114,8960,150000000,6.240e+08
115,6479,150000000,5.853e+08
116,118,150000000,4.750e+08
117,2062,150000000,6.237e+08
118,272,150000000,3.742e+08
119,10527,150000000,6.039e+08
120,18360,150000000,4.131e+08
121,2080,150000000,3.731e+08
122,605,150000000,4.250e+08
123,109445,150000000,1.274e+09
124,604,150000000,7.386e+08
125,76338,170000000,6.446e+08
126,76341,150000000,3.789e+08
127,13448,150000000,3.566e+08
128,10195,150000000,4.493e+08
129,13053,150000000,3.100e+08
130,19585,150000000,2.928e+08
131,57165,150000000,3.010e+08
132,62213,150000000,2.455e+08
133,177677,150000000,6.823e+08
134,5559,150000000,2.876e+08
135,49444,150000000,6.657e+08
136,10196,150000000,3.185e+08
137,956,150000000,3.979e+08
138,117251,150000000,2.054e+08
139,50321,150000000,3.899e+07
140,11619,149000000,6.446e+07
141,266647,150000000,1.284e+08
142,82703,145000000,2.729e+08
143,652,175000000,4.974e+08
144,80321,145000000,7.469e+08
145,36669,140000000,4.320e+08
146,43074,144000000,2.291e+08
147,95,140000000,5.538e+08
148,608,140000000,4.418e+08
149,2310,70000000,1.957e+08
150,140300,145000000,5.212e+08
151,56292,145000000,6.947e+08
152,81188,145000000,3.069e+08
153,7552,100000000,2.020e+08
154,616,140000000,4.568e+08
155,147441,140000000,2.680e+08
156,13475,150000000,3.857e+08
157,557,139000000,8.217e+08
158,82702,145000000,6.091e+08
159,205584,140000000,1.507e+08
160,10048,135000000,7.693e+07
161,13183,130000000,1.853e+08
162,944,140000000,2.854e+08
163,1927,137000000,2.454e+08
164,72559,130000000,3.719e+08
165,7364,130000000,1.193e+08
166,2114,137000000,8.513e+07
167,1771,140000000,3.706e+08
168,36643,135000000,3.618e+08
169,8619,150000000,2.120e+08
170,50620,120000000,8.290e+08
171,65759,130000000,1.504e+08
172,1724,150000000,1.637e+08
173,267935,140000000,1.833e+08
174,281957,135000000,5.330e+08
175,77950,135000000,2.826e+08
176,44896,135000000,2.457e+08
177,270946,132000000,3.736e+08
178,2503,70000000,4.428e+08
179,9502,130000000,6.317e+08
180,102899,130000000,5.193e+08
181,101299,130000000,8.474e+08
182,228161,135000000,3.689e+08
183,74,132000000,5.917e+08
184,8961,130000000,2.733e+08
185,417859,130000000,5.550e+08
186,27576,110000000,2.933e+08
187,86834,125000000,3.626e+08
188,17578,130000000,3.719e+08
189,673,130000000,7.898e+08
190,6972,130000000,4.955e+07
191,82700,130000000,2.438e+08
192,10567,127500000,3.542e+08
